,question,ques_id,reference_answer,student_answer,result,grade
37,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,You take a look through the magnifying glass.,irrelevant,1
38,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because of the paper we looked at.,irrelevant,1
39,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,We looked at a piece of paper and one of the pictures looked like the crystals.,irrelevant,1
40,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,They will not shine.,irrelevant,1
41,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,They were square like salt.,correct,4
42,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,We knew the crystals were salt because the crystal identification chart showed us that the different kinds of salt were crystals.,irrelevant,1
43,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,It said so on a paper.,irrelevant,1
44,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because it was at it because we had a chart that could tell us that.,irrelevant,1
45,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,They looked like salt.,irrelevant,1
46,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,We got a sheet with different kinds of crystals. So I looked for the same picture like the crystal and it said Kosher salt.,correct,4
47,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,The teacher told us.,non_domain,0
48,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because salt is made up of little crystals.,irrelevant,1
49,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because salt look like little pieces of a crystal.,irrelevant,1
50,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,I knew because they were shaped like kosher salt.,correct,4
51,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,I knew the crystals were salt by the movie we watched.,irrelevant,1
52,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because flour does not turn into crystals.,irrelevant,1
53,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because salt is a crystal.,irrelevant,1
54,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,"Because it has a X in the middle, and salt was in it.",partially_correct_incomplete,3
55,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,The crystals are kosher salt and kosher salt is salt!,irrelevant,1
56,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,By looking at the crystal identification sheet.,irrelevant,1
57,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because we measured them.,irrelevant,1
58,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because it was so shiny.,irrelevant,1
59,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,They were powdery.,irrelevant,1
60,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because there were little shining things inside and I knew it was salt.,irrelevant,1
61,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because we learned it because it was white that is how we knew.,irrelevant,1
62,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,I would know that the crystals were salt is the way how it looks.,irrelevant,1
63,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,We poured the water we left it alone for 2 days and they dry up.,irrelevant,1
64,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,After the water dried we noticed it was Kosher salt.,irrelevant,1
65,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,By breaking the rock.,irrelevant,1
66,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because it tastes like salt.,irrelevant,1
67,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because crystals are a kind of salt.,irrelevant,1
68,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,I looked at them really closely and they looked like crystals and diamonds.,correct,4
69,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,Because we looked in the magnifying glass.,irrelevant,1
70,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,correct,4
71,You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,EM_45c,The crystals were square with Xs on the surface.,I looked at the chart.,irrelevant,1
72,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is harder because it would be all no on the chart.,partially_correct_incomplete,3
73,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is harder. Because topaz is the hardest birthstone.,partially_correct_incomplete,3
74,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct,4
75,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,M to Z is harder than mineral X and Y.,irrelevant,1
76,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,It is harder than X Y Z because we read about it this morning.,partially_correct_incomplete,3
77,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,It is harder than them.,partially_correct_incomplete,3
78,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"It is harder than minerals X, Y, and Z because it cannot be scratched by either one.",correct,4
79,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,A topaz is compared to Z because it cannot be scratched with 2 thirds things. Y is all the opposite of topaz. X cannot be scratched with one third of a topaz cannot be scratched.,contradictory,2
80,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,The Topaz is the first hardest mineral out of the 3 on the chart.,partially_correct_incomplete,3
81,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz is harder than all of them. It is just barely harder than Z, way harder than Y, and pretty harder than X.",partially_correct_incomplete,3
82,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz is harder than X, Y, and Z because Topaz cannot be scratched by a fingernail, a penny, or a paperclip so it is the hardest.",correct,4
83,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Tied with mineral Y because they are both yes, yes, and yes.",contradictory,2
84,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz would be all no's compared the minerals X, Y, and Z because topaz is one of the scratch free minerals.",irrelevant,1
85,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz is harder than minerals X, Y, and Z because Topaz cannot be scratched by a fingernail, penny or a paperclip. So it is harder.",correct,4
86,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"It is a soft rock Z, I think it is the same as Y because they can both be scratched by everything. It is little bit hard to X.",contradictory,2
87,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz is harder than X, Y, and Z because it cannot be scratched by a fingernail, a laser, or a paperclip.",correct,4
88,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,correct,4
89,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Like steel if you rub them and if it does not scratch.,irrelevant,1
90,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,It is harder than all of the other minerals because it cannot get scratched by none of the scratching materials and all the other minerals can get scratched at least one time.,correct,4
91,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"It is harder than X, Y, Z. I know it is harder than X, Y, and Z because nothing can scratch it.",correct,4
92,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Minerals X has 2 of them in a paperclip and penny. And the Y, Z and the minerals Y is the hardest in it.",contradictory,2
93,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,It is the hardest because it cannot be scratched by any of them and the others can be scratched with at least one of the minerals.,correct,4
94,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Mineral Z can scratch topaz because mineral Z cannot be scratched by a penny or a fingernail but it can get scratched by a paperclip.,contradictory,2
95,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"It is so strong that minerals X, Y, Z cannot break it.",partially_correct_incomplete,3
96,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,I know because when you break a rock that is when you know it is hard or not hard.,irrelevant,1
97,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"How it is compared to X, Y, and Z is that the finger and the penny cannot scratch mineral X and Z.",partially_correct_incomplete,3
98,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,I know it is Z because it has one yes and 2 no's.,contradictory,2
99,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Mineral Z cannot be scratched by penny, fingernail, and paperclip. Topaz cannot be scratched by anything.",contradictory,2
100,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"Topaz has to have X, Y, Z as minerals.",irrelevant,1
101,"Ms. Teridann, a geologist, made a chart showing the scratch-test data for 3 minerals (Mineral X, Mineral Y, and Mineral Z). She wrote ""yes"" if the tool scratched the mineral and wrote ""no"" if it did not scratch it. Topaz is a mineral that cannot be scratched by a fingernail, a penny, or a paperclip. How hard is topaz compared to minerals X, Y, and Z? Explain how you know.",EM_16b,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Because it is harder.,partially_correct_incomplete,3
